Unnamed: 0,old_id,label,text,Slogan,Restructured,Context (deprecated),Example,Argument,Support/Citation,Data Domain,Tool Used/Mentioned,Dashboard Type,Authors,Work,Year,Publisher,How I found it ,Format,Reason for Rating,Subjective Trust Score:,Link,id,doc_id,cleaned_text,tokens,preprocessed_text
90,D004.027,digestible,Eliminate clutter,Eliminate clutter,,,Exemplar Dashboard,,,Nonspecific,Nonspecific,Undefined,Tableau,10 Best Practices for Building Effective Dashboards,Unknown,Tableau,Google,PDF,Tableau is known to have employed many vis researchers,5,https://origin-tableau-www.tableau.com/sites/default/files/whitepapers/10_best_practices_for_building_effective_dashboardswp.pdf,Tableau_027_eliminate_clutter,Tableau_027_eliminate_clutter,Eliminate clutter,"['eliminate', 'clutter']",eliminate clutter
97,D005.002,digestible,Building a dashboard is a balancing act between adding enough information and cluttering it up with too many charts and filters.,Asking the right questions to design the right dashboard,,,,,,Nonspecific,Observable Framework,"First, it gives a quick overview of the key numbers at a glance. […] But when things aren’t as expected, your users need to be able to dig deeper. That is where additional views and filters come in to allow them to answer questions. The dashboard needs to be organized in a way that makes it easy to get around, even when a lot of information is being shown. It needs to be powerful without being overwhelming.",Robert Kosara,Seven essential tips for designing better dashboards,2024,Observable,Recommended by colleague,Blog post,Robert Kosara is an authority on vis design but I'm not sure what his incentive to promote this tool is.,4,https://observablehq.com/blog/seven-ways-design-better-dashboards,Robert_002_building_dashboard_balancing_act,Robert_002_building_dashboard_balancing_act,Building a dashboard is a balancing act between adding enough information and cluttering it up with too many charts and filters.,"['building', 'dashboard', 'balancing', 'act', 'adding', 'enough', 'information', 'cluttering', 'many', 'chart', 'filter']",building dashboard balancing act adding enough information cluttering many chart filter
100,D005.005,digestible,"To guide the user through the different stages of overview and details, the dashboard needs to be structured to make it clear where they’re supposed to look first.",Designing dashboard layouts with a clear visual hierarchy,,,Exemplar Dashboard,,,Nonspecific,Observable Framework,"First, it gives a quick overview of the key numbers at a glance. […] But when things aren’t as expected, your users need to be able to dig deeper. That is where additional views and filters come in to allow them to answer questions. The dashboard needs to be organized in a way that makes it easy to get around, even when a lot of information is being shown. It needs to be powerful without being overwhelming.",Robert Kosara,Seven essential tips for designing better dashboards,2024,Observable,Recommended by colleague,Blog post,Robert Kosara is an authority on vis design but I'm not sure what his incentive to promote this tool is.,4,https://observablehq.com/blog/seven-ways-design-better-dashboards,Robert_005_guide_user_through_different,Robert_005_guide_user_through_different,"To guide the user through the different stages of overview and details, the dashboard needs to be structured to make it clear where they’re supposed to look first.","['guide', 'user', 'different', 'stage', 'overview', 'detail', 'dashboard', 'need', 'structured', 'make', 'clear', 'supposed', 'look', 'first']",guide user different stage overview detail dashboard need structured make clear supposed look first
101,D005.006,digestible,"Color and shading can also be used to draw attention to the key items, as can larger font size.",Designing dashboard layouts with a clear visual hierarchy,,,,,,Nonspecific,Observable Framework,"First, it gives a quick overview of the key numbers at a glance. […] But when things aren’t as expected, your users need to be able to dig deeper. That is where additional views and filters come in to allow them to answer questions. The dashboard needs to be organized in a way that makes it easy to get around, even when a lot of information is being shown. It needs to be powerful without being overwhelming.",Robert Kosara,Seven essential tips for designing better dashboards,2024,Observable,Recommended by colleague,Blog post,Robert Kosara is an authority on vis design but I'm not sure what his incentive to promote this tool is.,4,https://observablehq.com/blog/seven-ways-design-better-dashboards,Robert_006_color_shading_can_also,Robert_006_color_shading_can_also,"Color and shading can also be used to draw attention to the key items, as can larger font size.","['color', 'shading', 'also', 'used', 'draw', 'attention', 'key', 'item', 'larger', 'font', 'size']",color shading also used draw attention key item larger font size
103,D005.008,digestible,"We tend to want to show as much data as possible on a dashboard, so naturally we’re thinking of charts and data visualizations. But simple numbers are important and can make a dashboard much more usable by making key values available at a glance.","Include big, important numbers when building dashboards",,,,,,Nonspecific,Observable Framework,"First, it gives a quick overview of the key numbers at a glance. […] But when things aren’t as expected, your users need to be able to dig deeper. That is where additional views and filters come in to allow them to answer questions. The dashboard needs to be organized in a way that makes it easy to get around, even when a lot of information is being shown. It needs to be powerful without being overwhelming.",Robert Kosara,Seven essential tips for designing better dashboards,2024,Observable,Recommended by colleague,Blog post,Robert Kosara is an authority on vis design but I'm not sure what his incentive to promote this tool is.,4,https://observablehq.com/blog/seven-ways-design-better-dashboards,Robert_008_tend_want_show_much,Robert_008_tend_want_show_much,"We tend to want to show as much data as possible on a dashboard, so naturally we’re thinking of charts and data visualizations. But simple numbers are important and can make a dashboard much more usable by making key values available at a glance.","['tend', 'want', 'show', 'much', 'data', 'possible', 'dashboard', 'naturally', 'thinking', 'chart', 'data', 'visualization', 'simple', 'number', 'important', 'make', 'dashboard', 'much', 'usable', 'making', 'key', 'value', 'available', 'glance']",tend want show much data possible dashboard naturally thinking chart data visualization simple number important make dashboard much usable making key value available glance
104,D005.009,digestible,Big numbers also help with the visual hierarchy.,"Include big, important numbers when building dashboards",,,Exemplar Dashboard,,,Nonspecific,Observable Framework,"First, it gives a quick overview of the key numbers at a glance. […] But when things aren’t as expected, your users need to be able to dig deeper. That is where additional views and filters come in to allow them to answer questions. The dashboard needs to be organized in a way that makes it easy to get around, even when a lot of information is being shown. It needs to be powerful without being overwhelming.",Robert Kosara,Seven essential tips for designing better dashboards,2024,Observable,Recommended by colleague,Blog post,Robert Kosara is an authority on vis design but I'm not sure what his incentive to promote this tool is.,4,https://observablehq.com/blog/seven-ways-design-better-dashboards,Robert_009_big_numbers_also_help,Robert_009_big_numbers_also_help,Big numbers also help with the visual hierarchy.,"['big', 'number', 'also', 'help', 'visual', 'hierarchy']",big number also help visual hierarchy
105,D005.010,digestible,"Your users probably know their key metrics, and have a solid frame of reference to know what numbers to expect (and which ones would be bad). Showing those at the top is a great way to give your users the most important information as quickly as possible.","Include big, important numbers when building dashboards",,,Exemplar Dashboard,,,Nonspecific,Observable Framework,"First, it gives a quick overview of the key numbers at a glance. […] But when things aren’t as expected, your users need to be able to dig deeper. That is where additional views and filters come in to allow them to answer questions. The dashboard needs to be organized in a way that makes it easy to get around, even when a lot of information is being shown. It needs to be powerful without being overwhelming.",Robert Kosara,Seven essential tips for designing better dashboards,2024,Observable,Recommended by colleague,Blog post,Robert Kosara is an authority on vis design but I'm not sure what his incentive to promote this tool is.,4,https://observablehq.com/blog/seven-ways-design-better-dashboards,Robert_010_users_probably_know_their,Robert_010_users_probably_know_their,"Your users probably know their key metrics, and have a solid frame of reference to know what numbers to expect (and which ones would be bad). Showing those at the top is a great way to give your users the most important information as quickly as possible.","['user', 'probably', 'know', 'key', 'metric', 'solid', 'frame', 'reference', 'know', 'number', 'expect', 'one', 'would', 'bad', 'showing', 'top', 'great', 'way', 'give', 'user', 'important', 'information', 'quickly', 'possible']",user probably know key metric solid frame reference know number expect one would bad showing top great way give user important information quickly possible
106,D005.011,digestible,"Dashboards are useful because they let viewers see information that needs to be considered together, all in one place. This can mean different aspects of the same (or related) data, say sales numbers and orders, or bookings and the weather.",Include coordinated views when building dashboards,,,Exemplar Dashboard,,,Nonspecific,Observable Framework,"First, it gives a quick overview of the key numbers at a glance. […] But when things aren’t as expected, your users need to be able to dig deeper. That is where additional views and filters come in to allow them to answer questions. The dashboard needs to be organized in a way that makes it easy to get around, even when a lot of information is being shown. It needs to be powerful without being overwhelming.",Robert Kosara,Seven essential tips for designing better dashboards,2024,Observable,Recommended by colleague,Blog post,Robert Kosara is an authority on vis design but I'm not sure what his incentive to promote this tool is.,4,https://observablehq.com/blog/seven-ways-design-better-dashboards,Robert_011_dashboards_useful_because_they,Robert_011_dashboards_useful_because_they,"Dashboards are useful because they let viewers see information that needs to be considered together, all in one place. This can mean different aspects of the same (or related) data, say sales numbers and orders, or bookings and the weather.","['dashboard', 'useful', 'let', 'viewer', 'see', 'information', 'need', 'considered', 'together', 'one', 'place', 'mean', 'different', 'aspect', 'related', 'data', 'say', 'sale', 'number', 'order', 'booking', 'weather']",dashboard useful let viewer see information need considered together one place mean different aspect related data say sale number order booking weather
113,D005.018,digestible,"If users have to wait too long for their actions to have an effect, they lose focus and won’t be able, or have the desire, to ask more questions. Making dashboards fast is therefore crucial.",Add filters for more interactive dashboards,,,"Static site generators like Observable Framework have an advantage over traditional BI tools here, because they don’t require database access at load or when the user interacts.",,,Nonspecific,Observable Framework,"First, it gives a quick overview of the key numbers at a glance. […] But when things aren’t as expected, your users need to be able to dig deeper. That is where additional views and filters come in to allow them to answer questions. The dashboard needs to be organized in a way that makes it easy to get around, even when a lot of information is being shown. It needs to be powerful without being overwhelming.",Robert Kosara,Seven essential tips for designing better dashboards,2024,Observable,Recommended by colleague,Blog post,Robert Kosara is an authority on vis design but I'm not sure what his incentive to promote this tool is.,4,https://observablehq.com/blog/seven-ways-design-better-dashboards,Robert_018_users_have_wait_too,Robert_018_users_have_wait_too,"If users have to wait too long for their actions to have an effect, they lose focus and won’t be able, or have the desire, to ask more questions. Making dashboards fast is therefore crucial.","['user', 'wait', 'long', 'action', 'effect', 'lose', 'focus', 'able', 'desire', 'ask', 'question', 'making', 'dashboard', 'fast', 'therefore', 'crucial']",user wait long action effect lose focus able desire ask question making dashboard fast therefore crucial
124,D006.005,digestible,"Avoid overlap and confusion between parameters, aim for the minimal sufficient data ","Avoid overlap and confusion between parameters, aim for the minimal sufficient data ",,,Exemplar Dashboard (Not linked/embedded),,,Nonspecific,Nonspecific,They give an objective picture of your business performance to everyone inside the team.,Vlad Gavriluk,Top 10 Dashboard Design Examples,2024,Arounda,DuckDuckGo search,Blog post,Unsure of publisher,3,https://arounda.agency/blog/top-10-dashboard-design-examples,Vlad_005_avoid_overlap_confusion_between,Vlad_005_avoid_overlap_confusion_between,"Avoid overlap and confusion between parameters, aim for the minimal sufficient data","['avoid', 'overlap', 'confusion', 'parameter', 'aim', 'minimal', 'sufficient', 'data']",avoid overlap confusion parameter aim minimal sufficient data
133,D007.002,digestible,"good dashboards always use charts, graphs, and other visual tools to make complex data more accessible and actionable.",Good data visualization,,,,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_002_good_dashboards_always_use,Snow_002_good_dashboards_always_use,"good dashboards always use charts, graphs, and other visual tools to make complex data more accessible and actionable.","['good', 'dashboard', 'always', 'use', 'chart', 'graph', 'visual', 'tool', 'make', 'complex', 'data', 'accessible', 'actionable']",good dashboard always use chart graph visual tool make complex data accessible actionable
135,D007.004,digestible,"good dashboards also allow users to highlight key data or indicators, ensuring users stay focused on what matters most for their goals.",Easy to highlight key parts,,,,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_004_good_dashboards_also_allow,Snow_004_good_dashboards_also_allow,"good dashboards also allow users to highlight key data or indicators, ensuring users stay focused on what matters most for their goals.","['good', 'dashboard', 'also', 'allow', 'user', 'highlight', 'key', 'data', 'indicator', 'ensuring', 'user', 'stay', 'focused', 'matter', 'goal']",good dashboard also allow user highlight key data indicator ensuring user stay focused matter goal
138,D007.007,digestible,Make it simple and intuitive ,Make it simple and intuitive ,,,,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_007_make_simple_intuitive,Snow_007_make_simple_intuitive,Make it simple and intuitive,"['make', 'simple', 'intuitive']",make simple intuitive
139,D007.008,digestible,"On the one hand, your dashboard should include only the most important content, elements and layouts, so users can quickly scan and find what they need as soon as possible even if it's their first time on the dashboard.",Present only important content and elements,,,,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_008_one_hand_dashboard_should,Snow_008_one_hand_dashboard_should,"On the one hand, your dashboard should include only the most important content, elements and layouts, so users can quickly scan and find what they need as soon as possible even if it's their first time on the dashboard.","['one', 'hand', 'dashboard', 'include', 'important', 'content', 'element', 'layout', 'user', 'quickly', 'scan', 'find', 'need', 'soon', 'possible', 'even', 'first', 'time', 'dashboard']",one hand dashboard include important content element layout user quickly scan find need soon possible even first time dashboard
140,D007.009,digestible,"On the other hand, you tend to present the content or elements in a simple and user-friendly way.",Present in a simple and direct way,,,,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_009_other_hand_you_tend,Snow_009_other_hand_you_tend,"On the other hand, you tend to present the content or elements in a simple and user-friendly way.","['hand', 'tend', 'present', 'content', 'element', 'simple', 'user', 'friendly', 'way']",hand tend present content element simple user friendly way
141,D007.010,digestible,"Avoid cluttering the dashboard screen with excessive pictures, shadows, textures, or other visual elements",Present in a simple and direct way,,,,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_010_avoid_cluttering_dashboard_screen,Snow_010_avoid_cluttering_dashboard_screen,"Avoid cluttering the dashboard screen with excessive pictures, shadows, textures, or other visual elements","['avoid', 'cluttering', 'dashboard', 'screen', 'excessive', 'picture', 'shadow', 'texture', 'visual', 'element']",avoid cluttering dashboard screen excessive picture shadow texture visual element
142,D007.011,digestible,Also avoid adding too much information or too many features that may distract or confuse users.,Present in a simple and direct way,,,,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_011_also_avoid_adding_too,Snow_011_also_avoid_adding_too,Also avoid adding too much information or too many features that may distract or confuse users.,"['also', 'avoid', 'adding', 'much', 'information', 'many', 'feature', 'may', 'distract', 'confuse', 'user']",also avoid adding much information many feature may distract confuse user
145,D007.014,digestible,"After choosing the right charts or graphs, also try to present the data in a clear and direct manner. Avoid complex or overly detailed charts that might confuse users.",ensure data clarity ,,,Exemplar Dashboard,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_014_after_choosing_right_charts,Snow_014_after_choosing_right_charts,"After choosing the right charts or graphs, also try to present the data in a clear and direct manner. Avoid complex or overly detailed charts that might confuse users.","['choosing', 'right', 'chart', 'graph', 'also', 'try', 'present', 'data', 'clear', 'direct', 'manner', 'avoid', 'complex', 'overly', 'detailed', 'chart', 'might', 'confuse', 'user']",choosing right chart graph also try present data clear direct manner avoid complex overly detailed chart might confuse user
146,D007.015,digestible,"Highlight the most important metrics and data points. Use visual elements like colors and sizes to draw attention to these key figures, ensuring that users can quickly interpret the data.",highlight key factors or data,,,Exemplar Dashboard,,,Nonspecific,Mockplus prototyping tool,"A dashboard in UI/UX design usually refers to a screen that presents and monitors important data about users, products and services in a clear and direct way",Snow,20 Best Practices & Examples for Better Dashboard Designs,2024,Mockplus,DuckDuckGo search,Blog post,Author uses obvious pseudonym; Unsure of publisher,2,https://www.mockplus.com/blog/post/dashboard-design-best-practices-examples,Snow_015_highlight_most_important_metrics,Snow_015_highlight_most_important_metrics,"Highlight the most important metrics and data points. Use visual elements like colors and sizes to draw attention to these key figures, ensuring that users can quickly interpret the data.","['highlight', 'important', 'metric', 'data', 'point', 'use', 'visual', 'element', 'like', 'color', 'size', 'draw', 'attention', 'key', 'figure', 'ensuring', 'user', 'quickly', 'interpret', 'data']",highlight important metric data point use visual element like color size draw attention key figure ensuring user quickly interpret data
168,D008.001,digestible,A dashboard should present information in a clear and concise manner. Avoid cluttering the dashboard with too much information or unnecessary visual elements,Keep it simple,,,,,,Nonspecific,Nonspecific,"A dashboard is a set of graphical menus and interfaces that give the user quick access to data and information, as well as simplify any editing processes they might need for a website or an app",Onething Design Studio,Top 20 Dashboard Designs Example and 8 Best Practices,2022,Onething Design Studio,DuckDuckGo search,Blog post,Unsure of publisher; worked on cryptocurrency projects,2,https://www.onething.design/post/dashboard-design,Onething_001_dashboard_should_present_information,Onething_001_dashboard_should_present_information,A dashboard should present information in a clear and concise manner. Avoid cluttering the dashboard with too much information or unnecessary visual elements,"['dashboard', 'present', 'information', 'clear', 'concise', 'manner', 'avoid', 'cluttering', 'dashboard', 'much', 'information', 'unnecessary', 'visual', 'element']",dashboard present information clear concise manner avoid cluttering dashboard much information unnecessary visual element
